id,rate,url,name,furigana,isInternational,location,canDisplayIframe,officeType,webQuarity,architectRating,note,notQuote
1,12,https://jun-igarashi.jp/,五十嵐淳建築設計事務所,いがらしじゅんけんちくせっけいじむしょ,No,北海道,Yes,個人事務所,1,2,note,No
2,75,https://big.dk/,BIG (Bjarke Ingels Group),びっぐ,Yes,デンマーク,No,個人事務所,5,5,,No
4,75,https://www.mvrdv.com/,MVRDV,えむぶいあーるでぃーぶい,Yes,オランダ,No,個人事務所,5,5,,No
3,96,https://kkaa.co.jp/,隈研吾建築都市設計事務所,くまけんごけんちくとしせっけいじむしょ,No,東京都,Yes,個人事務所,4,4,note,No
5,0,https://www.yasutakayoshimura.com/,吉村靖孝建築設計事務所,よしむらやすたかけんちくせっけいじむしょ,No,東京都,Yes,個人事務所,,4,,No
6,150,https://www.inuiuni.com/,乾久美子建築設計事務所,いぬいくみこけんちくせっけいじむしょ,No,東京都,Yes,個人事務所,5,5,note,No
7,0,https://www.tangeweb.com/,TANGE建築都市設計,たんげけんちくとしせっけい,No,東京都,No,個人事務所,,3,,No
8,0,http://www.uoya.info/ao/project.html,魚谷繁礼建築研究所,うおやしげのりけんちくけんきゅうじょ,No,京都府,Yes,個人事務所,,3,,No
9,0,https://www.taisei-design.jp/de/,大成建設一級建築士事務所,たいせいけんせついっきゅうけんちくしじむしょ,No,東京都,No,ゼネコン,,3,,No
10,0,http://www.i-mad.com/,MAD,まっど,Yes,中国,No,個人事務所,,5,,No
11,30,https://www.airesmateus.com/,Aires Mateus,あいれすまてうす,Yes,ポルトガル,No,個人事務所,2,5,,No
12,0,https://www.narukuma.com/,成瀬・猪熊建築設計事務所,なるせいのくまけんちくせっけいじむしょ,No,東京都,No,個人事務所,,5,,No
13,0,https://www.maki-and-associates.co.jp/,槇総合計画事務所,まきそうごうけいかくじむしょ,No,東京都,Yes,個人事務所,,4,,No
14,0,https://www.sou-fujimoto.net/,藤本壮介建築設計事務所,ふじもとそうすけけんちくせっけいじむしょ,No,東京都,No,個人事務所,,4,,No
15,0,https://tat-o.com/,タトアーキテクツ," たとあーきてくつ",No,兵庫県,Yes,個人事務所,,5,,No
16,0,https://schemata.jp/,スキーマ建築計画,すきーまけんちくけいかく,No,東京都,Yes,個人事務所,,5,,No
17,0,https://www.nikken.co.jp/ja/,日建設計,にっけんせっけい,No,東京都,Yes,組織設計,,5,,No
18,36,https://kaihoh.jp/,海法圭建築設計事務所,かいほうけいけんちくせっけいじむしょ,No,東京都,Yes,個人事務所,2,3,note,No
19,0,https://www.r-a-architects.com/,芦澤竜一建築設計事務所,あしはらりゅういちけんちくせっけいじむしょ,No,大阪府,No,個人事務所,,4,,No
20,0,https://saiseikenchiku.co.jp/,再生建築研究所,さいせいけんちくけんきゅうじょ,No,東京都,Yes,個人事務所,,3,,No
21,60,https://kmrmtmt.com/ja,木村松本建築設計事務所,きむらまつもとけんちくせっけいじむしょ,No,京都府,Yes,個人事務所,2,5,note,No
22,0,https://www.ishimoto.co.jp/,石本建築事務所,いしもとけんちくせっけいじむしょ,No,東京都,Yes,個人事務所,,4,,No
23,0,https://www.hao.nu/,平田晃久建築設計事務所,ひらたあきひさけんちくせっけいじむしょ,No,東京都,Yes,個人事務所,,5,,No
24,0,https://sites.google.com/site/ikimonokenchiku/,生物建築舎,いきものけんちくしゃ,No,群馬県,No,個人事務所,,3,,No
25,0,https://horibe-aa.jp/,堀部安嗣建築設計事務所,ほりべやすしけんちくせっけいじむしょ,No,東京都,Yes,個人事務所,,2,,No
26,0,https://www.klein-dytham.com/,クライン ダイサム アーキテクツ,くらいんだいさむあーきてくつ,No,東京都,Yes,個人事務所,,2,,No
27,0,https://ryujifujimura.jp/,藤村龍至／RFA,ふじむらりゅうじあーるえふえー,No,東京都,Yes,個人事務所,,4,,No
28,0,https://maeda-inc.jp/,前田圭介／UID,まえだけいすけゆーあいでぃー,No,広島県,Yes,個人事務所,,4,,No
29,0,https://www.suep.jp/,末光弘和＋末光陽子／SUEP.,すえみつひろかずすえみつようこそーぷ,No,福岡県,No,個人事務所,,5,,No
30,96,https://www.studio-nora.com/,スタジオノラ,すたじおのら,No,東京都,Yes,個人事務所,4,4,note,Yes
31,0,https://www.onishihyakuda.com/,大西麻貴＋百田有希／o+h,おおにしまきひゃくだゆうきおーぷらすえいち,No,東京都,Yes,個人事務所,,5,,No